timestamp,direction,entry_price,sl,tp,final_score,trend_score,breakout_score,pullback_score,reversal_score,session_score,regime,result_r,exit_price,close_time
2025-11-14 13:20:00,BUY,4071.217,4070.717,4072.217,80.38856339219372,0.0,0.0,0.0,80.38856339219372,100.0,UNKNOWN,-1.0,4070.717,2025-11-14 13:25:00
2025-11-14 13:30:00,BUY,4055.155,4054.655,4056.155,93.7301706580498,0.0,0.0,0.0,93.7301706580498,100.0,UNKNOWN,-1.0,4054.655,2025-11-14 13:35:00
2025-11-14 13:40:00,BUY,4054.964,4054.464,4055.964,90.13193755144165,0.0,0.0,0.0,90.13193755144165,100.0,UNKNOWN,-1.0,4054.464,2025-11-14 13:45:00
2025-11-14 13:50:00,BUY,4050.649,4050.149,4051.649,94.02332922157157,0.0,0.0,0.0,94.02332922157157,100.0,UNKNOWN,2.0,4051.649,2025-11-14 13:55:00
2025-12-16 14:15:00,SELL,4326.979,4327.479,4325.979,81.46105458592899,0.0,0.0,0.0,-81.46105458592899,100.0,UNKNOWN,-1.0,4327.479,2025-12-16 14:20:00
2025-12-29 15:15:00,BUY,4332.0740000000005,4331.5740000000005,4333.0740000000005,75.23573211915043,0.0,0.0,0.0,75.23573211915043,100.0,UNKNOWN,-1.0,4331.5740000000005,2025-12-29 15:20:00
2026-01-29 15:20:00,BUY,5294.863,5294.363,5295.863,85.62381143826819,0.0,0.0,0.0,85.62381143826819,100.0,UNKNOWN,-1.0,5294.363,2026-01-29 15:25:00
2026-01-29 15:30:00,BUY,5162.635,5162.135,5163.635,100.0,0.0,0.0,0.0,108.63274170720253,100.0,UNKNOWN,-1.0,5162.135,2026-01-29 15:35:00
2026-02-12 16:15:00,BUY,4934.427000000001,4933.927000000001,4935.427000000001,79.18399173602367,0.0,0.0,0.0,79.18399173602367,100.0,UNKNOWN,-1.0,4933.927000000001,2026-02-12 16:20:00
2026-02-12 16:25:00,BUY,4897.411,4896.911,4898.411,93.28305628650419,0.0,0.0,0.0,93.28305628650419,100.0,UNKNOWN,-1.0,4896.911,2026-02-12 16:30:00
2026-02-27 13:05:00,SELL,5211.39,5211.89,5210.39,77.02320466055404,0.0,0.0,0.0,-77.02320466055404,100.0,UNKNOWN,-1.0,5211.89,2026-02-27 13:10:00
2026-02-27 13:15:00,SELL,5218.245,5218.745,5217.245,89.2434167661957,0.0,0.0,0.0,-89.2434167661957,100.0,UNKNOWN,-1.0,5218.745,2026-02-27 13:20:00
2026-02-27 13:25:00,SELL,5234.849,5235.349,5233.849,100.0,0.0,0.0,0.0,-106.27082596792562,100.0,UNKNOWN,-1.0,5235.349,2026-02-27 13:30:00
2026-04-17 13:05:00,SELL,4862.563,4863.063,4861.563,93.37292663336342,0.0,0.0,0.0,-93.37292663336342,100.0,UNKNOWN,-1.0,4863.063,2026-04-17 13:10:00
2026-06-05 13:55:00,BUY,4365.595,4365.095,4366.595,75.63350055600765,0.0,0.0,0.0,75.63350055600765,100.0,UNKNOWN,-1.0,4365.095,2026-06-05 14:00:00
