timestamp,symbol,session,regime,market_score,ml_probability,session_health,risk_multiplier,health_dynamic,health_source,health_note,decision,reasons
2026-06-24 18:15:05,XAUUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,XAGUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,BTCUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,ETHUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,NAS100,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,US500,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,GER40,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,EURUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,GBPUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:15:05,USDJPY,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
